year,league,player,games,team
1901,AL,Joe McGinnity,48,Baltimore
1902,AL,Cy Young,45,Boston
1903,AL,Eddie Plank,43,Philadelphia
1904,AL,Jack Chesbro,55,New York
1905,AL,Rube Waddell,46,Philadelphia
1906,AL,Jack Chesbro,49,New York
1907,AL,Ed Walsh,56,Chicago
1908,AL,Ed Walsh,66,Chicago
1909,AL,Frank Smith,51,Chicago
1910,AL,Jack Coombs,45,Philadelphia
1911,AL,Ed Walsh,56,Chicago
1912,AL,Ed Walsh,62,Chicago
1913,AL,Reb Russell,52,Chicago
1914,AL,Walter Johnson,51,Washington
1915,AL,Harry Coveleski,50,Detroit
1916,AL,Dave Davenport,59,St. Louis
1917,AL,Dave Danforth,50,Chicago
1918,AL,Jim Bagby,45,Cleveland
1919,AL,Jim Shaw,45,Washington
1920,AL,Jim Bagby,48,Cleveland
1921,AL,Carl Mays,49,New York
1922,AL,Eddie Rommel,51,Philadelphia
1923,AL,Eddie Rommel,56,Philadelphia
1924,AL,Firpo Marberry,50,Washington
1925,AL,Firpo Marberry,55,Washington
1926,AL,Firpo Marberry,64,Washington
1927,AL,Garland Braxton,58,Washington
1928,AL,Firpo Marberry,48,Washington
1929,AL,Firpo Marberry,49,Washington
1930,AL,Lefty Grove,50,Philadelphia
1931,AL,Bump Hadley,55,Washington
1932,AL,Firpo Marberry,54,Washington
1933,AL,Alvin Crowder,52,Washington
1934,AL,Jack Russell,54,Washington
1935,AL,Russ Van Atta,58,New York
1936,AL,Russ Van Atta,52,St. Louis
1937,AL,Clint Brown,53,Chicago
1938,AL,Johnny Humphries,45,Cleveland
1939,AL,Clint Brown,61,Chicago
1940,AL,Bob Feller,43,Cleveland
1941,AL,Bob Feller,44,Cleveland
1942,AL,Joe Haynes,40,Chicago
1943,AL,Mace Brown,49,Boston
1944,AL,Joe Heving,63,Cleveland
1945,AL,Joe Berry,52,Philadelphia
1946,AL,Bob Feller,48,Cleveland
1947,AL,Ed Klieman,58,Cleveland
1948,AL,Joe Page,55,New York
1949,AL,Joe Page,60,New York
1950,AL,Mickey Harris,53,Washington
1951,AL,Ellis Kinder,63,Boston
1952,AL,Bill Kennedy,47,Chicago
1953,AL,Ellis Kinder,69,Boston
1954,AL,Sonny Dixon,54,Philadelphia
1955,AL,Ray Narleski,60,Cleveland
1956,AL,George Zuverink,62,Baltimore
1957,AL,George Zuverink,56,Baltimore
1958,AL,Tex Clevenger,55,Washington
1959,AL,Gerry Staley,67,Chicago
1960,AL,Mike Fornieles,70,Boston
1961,AL,Luis Arroyo,65,New York
1962,AL,Dick Radatz,62,Boston
1963,AL,Stu Miller,71,Baltimore
1964,AL,John Wyatt,81,Kansas City
1965,AL,Eddie Fisher,82,Chicago
1966,AL,Eddie Fisher,67,Baltimore
1967,AL,Bob Locker,77,Chicago
1968,AL,Wilbur Wood,88,Chicago
1969,AL,Wilbur Wood,76,Chicago
1970,AL,Wilbur Wood,77,Chicago
1971,AL,Ken Sanders,83,Milwaukee
1972,AL,Paul Lindblad,66,Texas
1973,AL,John Hiller,65,Detroit
1974,AL,Rollie Fingers,76,Oakland
1975,AL,Rollie Fingers,75,Oakland
1976,AL,Bill Campbell,78,Minnesota
1977,AL,Sparky Lyle,72,New York
1978,AL,Bob Lacey,74,Oakland
1979,AL,Mike Marshall,90,Minnesota
1980,AL,Dan Quisenberry,75,Kansas City
1981,AL,Doug Corbett,54,Minnesota
1982,AL,Ed Vande Berg,78,Seattle
