1876,-,-,-,1876,Jim Devlin,68,Louisville
1877,-,-,-,1877,Jim Devlin,61,Louisville
1878,-,-,-,1878,Tommy Bond,59,Boston
1879,-,-,-,1879,Will White,76,Cincinnati
1880,-,-,-,1880,Jim McCormick,74,Cleveland
Lee Richmond,Worcester,,,,,,
1881,-,-,-,1881,Jim Whitney,66,Boston
1882,-,-,-,1882,Jim McCormick,68,Cleveland
1883,-,-,-,1883,Pud Galvin,76,Buffalo
Old Hoss Radbourn,Providence,,,,,,
1884,-,-,-,1884,Old Hoss Radbourn,75,Providence
1885,-,-,-,1885,John Clarkson,70,Chicago
1886,-,-,-,1886,Tim Keefe,64,New York
1887,-,-,-,1887,John Clarkson,60,Chicago
1888,-,-,-,1888,Ed Morris,55,Pittsburgh
1889,-,-,-,1889,John Clarkson,73,Boston
1890,-,-,-,1890,Bill Hutchison,71,Chicago
1891,-,-,-,1891,Bill Hutchison,66,Chicago
1892,-,-,-,1892,Bill Hutchison,75,Chicago
1893,-,-,-,1893,Amos Rusie,56,New York
1894,-,-,-,1894,Theodore Breitenstein,56,St. Louis
1895,-,-,-,1895,Pink Hawley,56,Pittsburgh
1896,-,-,-,1896,Frank Killen,52,Pittsburgh
1897,-,-,-,1897,Red Donahue,46,St. Louis
Win Mercer,Washington,,,,,,
Kid Nichols,Boston,,,,,,
Cy Young,Cleveland,,,,,,
1898,-,-,-,1898,Kid Nichols,50,Boston
Jack Taylor,St. Louis,,,,,,
1899,-,-,-,1899,Sam Leever,51,Pittsburgh
1900,-,-,-,1900,Bill Carrick,45,New York
1901,Joe McGinnity,48,Baltimore,1901,Bill Donovan,45,Brooklyn
Jack Powell,St. Louis,,,,,,
Dummy Taylor,New York,,,,,,
1902,Cy Young,45,Boston,1902,Vic Willis,51,Boston
1903,Eddie Plank,43,Philadelphia,1903,Joe McGinnity,55,New York
1904,Jack Chesbro,55,New York,1904,Joe McGinnity,51,New York
1905,Rube Waddell,46,Philadelphia,1905,Joe McGinnity,46,New York
Togie Pittinger,Philadelphia,,,,,,
1906,Jack Chesbro,49,New York,1906,Joe McGinnity,45,New York
1907,Ed Walsh,56,Chicago,1907,Joe McGinnity,47,New York
1908,Ed Walsh,66,Chicago,1908,Christy Mathewson,56,New York
1909,Frank Smith,51,Chicago,1909,Mordecai Brown,50,Chicago
